yy,gear,flag,lond,latd,alb_mt,alb_no,bet_mt,bet_no,skj_mt,skj_no,yft_mt,yft_no
1952,L,JP,142.50,7.50,0.448,32,407.473,9943,0.299,67,285.976,10091
1952,L,JP,142.50,12.50,0.070,5,0,0,0,0,2.548,100
1952,L,JP,142.50,17.50,0.364,26,0,0,0,0,3.158,123
1952,L,JP,142.50,22.50,17.536,1253,60.775,1483,0.170,38,73.418,3146
1952,L,JP,142.50,27.50,1124.387,80341,187.693,4580,0.530,119,99.065,4286
1952,L,JP,142.50,32.50,3792.008,270951,1063.618,25954,1.343,301,80.248,2790
1952,L,JP,142.50,37.50,1110.658,79360,700.486,17093,0.227,51,44.686,1545
1952,L,JP,142.50,42.50,0,0,7.827,191,0,0,0.291,10
1952,L,JP,147.50,-12.50,0,0,0,0,0,0,0.011,0
1952,L,JP,147.50,-7.50,0,0,0,0,0,0,0.023,0
1952,L,JP,147.50,-2.50,11.463,773,29.137,711,0,0,186.293,7391
1952,L,JP,147.50,2.50,2.827,202,103.354,2522,0,0,305.176,10793
1952,L,JP,147.50,7.50,1.232,88,188.882,4609,0.071,16,110.755,3940
1952,L,JP,147.50,12.50,1.525,109,0.656,16,0,0,7.841,298
1952,L,JP,147.50,17.50,3.709,265,3.812,93,0,0,16.137,608
1952,L,JP,147.50,22.50,6.101,436,28.440,694,0.116,26,52.044,2243
1952,L,JP,147.50,27.50,1088.489,77776,164.333,4010,1.088,244,28.758,1250
1952,L,JP,147.50,32.50,841.908,60157,1059.192,25846,0.277,62,11.194,393
1952,L,JP,147.50,37.50,344.142,24590,334.404,8160,0.255,57,8.319,289
1952,L,JP,147.50,42.50,0,0,0.410,10,0,0,0,0
1952,L,JP,152.50,-32.50,0,0,0,0,0,0,0,0
1952,L,JP,152.50,-12.50,0,0,4.467,109,0,0,192.683,6176
1952,L,JP,152.50,-7.50,3.085,208,21.310,520,0.076,17,244.900,9716
1952,L,JP,152.50,-2.50,1.083,73,33.112,808,3.661,821,424.723,16850
1952,L,JP,152.50,2.50,1.190,85,21.024,513,0.223,50,50.511,1809
1952,L,JP,152.50,7.50,0.224,16,27.417,669,0.116,26,56.017,1990
1952,L,JP,152.50,12.50,0,0,0,0,0,0,2.530,97
1952,L,JP,152.50,17.50,6.970,498,7.213,176,0.393,88,17.791,682
1952,L,JP,152.50,22.50,4.577,327,10.819,264,0.045,10,22.639,933
1952,L,JP,152.50,27.50,743.858,53151,268.139,6543,1.503,337,11.399,497
1952,L,JP,152.50,32.50,1752.756,125240,754.950,18422,0.532,119,29.558,1022
1952,L,JP,152.50,37.50,426.714,30490,624.426,15237,0.718,161,17.447,608
1952,L,JP,152.50,42.50,25.472,1820,30.531,745,0.022,5,0.553,19
1952,L,JP,157.50,-17.50,0.555,36,0,0,0,0,1.622,52
1952,L,JP,157.50,-12.50,0,0,0,0,0,0,0.002,0
1952,L,JP,157.50,-7.50,3.887,262,76.511,1867,7.373,1653,637.798,25304
1952,L,JP,157.50,-2.50,1.083,73,78.520,1916,1.954,438,561.879,22292
1952,L,JP,157.50,2.50,2.085,149,55.079,1344,0.013,3,118.924,4197
1952,L,JP,157.50,7.50,0.504,36,48.153,1175,0,0,133.251,4699
1952,L,JP,157.50,12.50,0.588,42,8.524,208,0.580,130,8.920,336
1952,L,JP,157.50,17.50,0,0,0,0,0,0,0.874,35
1952,L,JP,157.50,22.50,0,0,0,0,0,0,1.323,51
1952,L,JP,157.50,27.50,717.883,51295,130.400,3182,0.553,124,6.897,302
1952,L,JP,157.50,32.50,2361.729,168753,925.799,22591,0.513,115,37.109,1282
1952,L,JP,157.50,37.50,278.014,19865,882.483,21534,0.348,78,29.009,1006
1952,L,JP,157.50,42.50,10.874,777,55.160,1346,0,0,0,0
1952,L,JP,162.50,-12.50,10.652,660,10.860,265,0.312,70,121.197,3521
1952,L,JP,162.50,-7.50,62.009,4255,153.719,3751,7.868,1764,1523.389,58483
1952,L,JP,162.50,-2.50,6.194,425,73.314,1789,1.052,236,631.440,24241
1952,L,JP,162.50,2.50,3.387,242,22.744,555,0.169,38,92.135,3149
1952,L,JP,162.50,7.50,0.588,42,80.979,1976,0.134,30,26.809,916
1952,L,JP,162.50,12.50,0.938,67,38.276,934,1.271,285,21.387,664
1952,L,JP,162.50,17.50,0,0,0,0,0,0,0.134,5
1952,L,JP,162.50,22.50,0,0,0,0,0,0,0.121,4
1952,L,JP,162.50,27.50,632.624,45203,51.472,1256,0.437,98,0.498,16
1952,L,JP,162.50,32.50,801.476,57268,159.744,3898,0.674,151,8.638,229
1952,L,JP,162.50,37.50,58.025,4146,568.855,13881,0.210,47,8.421,226
1952,L,JP,162.50,42.50,0.952,68,45.489,1110,0,0,0,0
1952,L,JP,162.50,47.50,0,0,0,0,0,0,0,0
1952,L,JP,167.50,-12.50,24.046,1490,6.516,159,0.067,15,108.220,3144
1952,L,JP,167.50,-7.50,20.009,1373,30.981,756,0.549,123,232.377,8921
1952,L,JP,167.50,-2.50,2.536,174,25.613,625,0.058,13,189.450,7273
1952,L,JP,167.50,2.50,0.434,31,4.221,103,0.009,2,72.803,2485
1952,L,JP,167.50,7.50,0.504,36,112.492,2745,0.116,26,12.159,415
1952,L,JP,167.50,12.50,4.017,287,403.867,9855,0.303,68,24.407,758
1952,L,JP,167.50,17.50,0,0,0,0,0,0,0.002,0
1952,L,JP,167.50,27.50,80.263,5735,15.532,379,0.022,5,0.001,0
1952,L,JP,167.50,32.50,608.259,43462,96.100,2345,0.343,77,1.633,42
1952,L,JP,167.50,37.50,103.942,7427,345.345,8427,0.602,135,7.660,204
1952,L,JP,167.50,42.50,0.224,16,36.596,893,0,0,0,0
1952,L,JP,172.50,2.50,0.952,68,45.735,1116,3.171,711,348.663,11901
1952,L,JP,172.50,7.50,1.736,124,445.585,10873,3.309,742,200.568,6846
1952,L,JP,172.50,12.50,7.194,514,690.611,16852,0.745,167,141.231,4386
1952,L,JP,172.50,27.50,10.385,742,2.993,73,0,0,0,0
1952,L,JP,172.50,32.50,606.720,43352,179.907,4390,0.347,78,0.988,26
1952,L,JP,172.50,37.50,306.145,21875,159.497,3892,0.437,98,3.949,104
1952,L,JP,172.50,42.50,0,0,5.532,135,0,0,0,0
1952,L,JP,177.50,2.50,0.224,16,32.990,805,0,0,161.016,5496
1952,L,JP,177.50,7.50,2.408,172,706.798,17247,0.210,47,185.071,6317
1952,L,JP,177.50,12.50,33.770,2413,1380.441,33685,1.088,244,178.680,5549
1952,L,JP,177.50,27.50,14.821,1059,60.611,1479,0.139,31,0.159,5
1952,L,JP,177.50,32.50,1053.655,75287,683.807,16686,1.807,405,6.951,183
1952,L,JP,177.50,37.50,444.374,31752,272.441,6648,0.187,42,3.570,94
1952,L,JP,182.50,2.50,3.415,244,127.614,3114,2.105,472,464.699,14916
1952,L,JP,182.50,7.50,3.570,255,982.598,23977,3.519,789,160.695,5158
1952,L,JP,182.50,12.50,75.630,5404,2728.139,66571,1.365,306,254.902,7599
1952,L,JP,182.50,17.50,1.595,114,0.656,16,0,0,0,0
1952,L,JP,182.50,22.50,1.386,99,68.684,1676,0,0,1.889,52
1952,L,JP,182.50,27.50,5.360,383,351.166,8569,0,0,32.405,892
1952,L,JP,182.50,32.50,73.643,5262,14.876,363,0.022,5,0,0
1952,L,JP,187.50,2.50,0.210,15,67.865,1656,0,0,489.904,15725
1952,L,JP,187.50,7.50,6.396,457,1847.787,45089,5.785,1297,318.990,10239
1952,L,JP,187.50,12.50,31.294,2236,1745.950,42604,1.253,281,89.126,2657
1952,L,JP,187.50,27.50,3.275,234,58.480,1427,0,0,1.889,52
1952,L,JP,192.50,2.50,5.165,369,55.283,1349,0,0,363.790,11677
1952,L,JP,192.50,7.50,0.574,41,663.152,16182,0,0,50.751,1629
1952,L,JP,192.50,12.50,2.548,182,1644.684,40133,1.436,322,24.353,726
1952,L,JP,192.50,17.50,2.911,208,3.197,78,0,0,0.168,5
1952,L,JP,192.50,22.50,0.364,26,14.876,363,0,0,0.945,26
1952,L,JP,192.50,27.50,6.157,440,229.534,5601,0,0,6.974,192
1952,L,JP,197.50,2.50,24.478,1749,65.897,1608,0.464,104,512.895,16463
1952,L,JP,197.50,7.50,0.140,10,354.978,8662,0,0,118.045,3789
1952,L,JP,197.50,12.50,1.302,93,485.992,11859,0,0,5.937,177
1952,L,JP,202.50,2.50,0,0,2.541,62,0,0,74.563,2102
1952,L,JP,202.50,7.50,0,0,48.071,1173,0,0,2.022,57
1952,L,JP,202.50,37.50,0,0,0,0,0,0,0,0
1952,L,JP,207.50,17.50,0,0,0,0,0,0,0.001,0
1952,L,JP,207.50,22.50,0,0,0,0,0,0,0.001,0
1952,L,JP,207.50,37.50,0,0,0,0,0,0,0.001,0
1952,P,JP,117.50,22.50,0,0,0.552,0,25.631,0,0,0
1952,P,JP,122.50,22.50,0,0,1.656,0,373.610,0,81.679,0
1952,P,JP,122.50,27.50,0,0,0,0,0.943,0,0,0
1952,P,JP,127.50,22.50,0,0,0,0,279.739,0,29.771,0
1952,P,JP,127.50,27.50,0,0,0,0,266.974,0,51.145,0
1952,P,JP,127.50,32.50,0,0,0,0,131.380,0,7.634,0
1952,P,JP,132.50,22.50,0,0,1.214,0,168.773,0,12.213,0
