"yy","gear","flag","eez","alb_mt","bet_mt","skj_mt","yft_mt"
1992,"L","AU","AU",320,33.728328,62,1016.956228
1992,"L","AU","I7",0,0.271672,0,0.043772
1992,"L","CN","FM",0,201.329,0,163.507
1992,"L","CN","I1",0,163.872,0,196.556
1992,"L","CN","I4",0,89.1545,0,96.938
1992,"L","CN","I5",0,89.1545,0,96.938
1992,"L","CN","PW",0,856.49,0.024,761.061
1992,"L","FJ","FJ",243,187,0,202
1992,"L","FM","FM",0,35.732323,0,76.057665
1992,"L","FM","I1",0,11.267677,0,16.942335
1992,"L","ID","ID",0,2753,0,12248
1992,"L","JP","AU",1004.180047,363.217964,18.168,1246.980019
1992,"L","JP","CN",0.482964,0.870033,0.014,1.633011
1992,"L","JP","FM",10.111046,4383.929834,0,5955.938042
1992,"L","JP","GL",2.499939,1262.839955,0,1949.246895
1992,"L","JP","H5",0,1.055792,0,2.58599
1992,"L","JP","I1",1.926101,1428.717131,5.224,1738.660956
1992,"L","JP","I2",2.930202,431.46599,0,715.955627
1992,"L","JP","I3",591.64746,2026.126053,9.488,2563.476412
1992,"L","JP","I4",81.006712,7117.206706,0,3107.969393
1992,"L","JP","I5",447.819031,8754.069646,0,2019.785831
1992,"L","JP","I6",9531.243689,10540.718161,5.97,2257.9205
1992,"L","JP","I7",1308.868308,284.316072,0,378.209258
1992,"L","JP","ID",0,15.84183,0,9.072916
1992,"L","JP","IW",0,60.192299,0,12.050844
1992,"L","JP","JP",7150.226565,4426.372068,58.273,7192.006391
1992,"L","JP","MH",14.799969,3200.113973,0.001,2852.654974
1992,"L","JP","NC",85.642947,6.290967,0,116.797076
1992,"L","JP","NF",43.185053,19.975905,0.89,25.770063
1992,"L","JP","NZ",325.324056,70.993923,0,0.184021
1992,"L","JP","PF",2.509951,26.087163,0,36.06502
1992,"L","JP","PG",0.477981,61.319097,0.016,49.632066
1992,"L","JP","PH",0.020024,1.257965,0,2.956074
1992,"L","JP","PW",0.299977,360.754957,0,333.269125
1992,"L","JP","SB",266.655064,532.030846,0,1406.066919
1992,"L","JP","WK",0.119013,0.041987,0,0.082999
1992,"L","KR","CK",0.697,8.903,0,6.19
1992,"L","KR","FM",0,64.461,0,19.12
1992,"L","KR","GL",13.283,280.946,0,427.665
1992,"L","KR","H4",8.504,42.943,0.024,48.373
1992,"L","KR","H5",9.719,107.582,0,93.553
1992,"L","KR","I1",0,1.13,0,0.88
1992,"L","KR","I2",0.44,281.952,0,77.504
1992,"L","KR","I3",0,47.913,0,47.41
1992,"L","KR","I4",970.1135,7746.17841,3.474,5420.6405
1992,"L","KR","I5",970.1135,7746.17841,3.474,5420.6405
1992,"L","KR","I6",0,0.126,0,1.857
1992,"L","KR","I7",0.44,0.061,0,0.022
1992,"L","KR","I9",0.083,0.128,0,0.951
1992,"L","KR","LN",49.301,629.461,0,359.948
1992,"L","KR","MH",0,6.084,0,5.508
1992,"L","KR","PF",71.887,437.34,0,171.158
1992,"L","KR","PX",79.33,663.375,0,635.77
1992,"L","KR","TV",16.089,24.238,0.028,35.81
1992,"L","MH","I4",0,0.833497,0,0.159709
1992,"L","MH","MH",0,5.166503,0,2.840291
1992,"L","NC","I7",0.924699,0.11493,0,0.100497
1992,"L","NC","NC",691.075301,26.88507,0,372.899503
1992,"L","NZ","I7",1.533291,0.134562,0,0
1992,"L","NZ","NZ",207.466709,38.865438,0,13
1992,"L","PF","PF",195,57,7,150
1992,"L","PH","PH",0,59,0,484
1992,"L","PW","PW",0,90,0,48
1992,"L","TO","I7",56.514153,1.11942,0.319783,1.726351
1992,"L","TO","TO",142.485847,3.88058,1.680217,17.273649
1992,"L","TW","CK",131.554,17.744,0,20.867
1992,"L","TW","FJ",147.988,1.411,0.004,7.111
1992,"L","TW","FM",0.855,1060.864,0,1102.3
1992,"L","TW","H5",1.754,6.018,0,1.773
1992,"L","TW","I1",0,1947.318069,47.6,8278.640207
1992,"L","TW","I3",0,834.564887,20.4,3547.98866
1992,"L","TW","I4",0,922.8215,73.952,594.3015
1992,"L","TW","I5",1.045,923.5815,73.952,596.4055
1992,"L","TW","I7",19168.8172,0,0,0
1992,"L","TW","I8",37.614,0.805,0,5.105
1992,"L","TW","I9",11.682,1.923,0.02,1.743
1992,"L","TW","ID",0,19.317,0,10.214
1992,"L","TW","MH",0,16.453,0,4.179
1992,"L","TW","NU",5.195,0.202,0,0.06
1992,"L","TW","PH",0,0.54,0,2.665
1992,"L","TW","PW",0,525.056,0,380.868
1992,"L","TW","SB",21.657,2.858,0.012,4.1
1992,"L","TW","VU",495.206,20.523,0.06,90.679
1992,"L","US","HW",69.486481,875.624352,0,233.578419
1992,"L","US","I5",18.293671,146.084174,0,26.66391
1992,"L","US","I6",244.201694,460.923201,0,97.616772
1992,"L","US","PY",0.01815,7.368274,0,4.1409
1992,"P","AU","AU",0,0,800,1
1992,"P","FJ","FJ",0,0,3705,395
1992,"P","ID","ID",0,2952,67631,13705
1992,"P","JP","FM",0,24.499995,3184.700523,49.800002
1992,"P","JP","GL",0,7.000002,1508.499827,26.499968
1992,"P","JP","H4",0,0,31.738608,0
1992,"P","JP","H5",0,0,51.840121,0
1992,"P","JP","I1",0,0,34.912468,3.851604
1992,"P","JP","I2",0,0,9.099192,0.770348
1992,"P","JP","I3",0,3.788046,6518.183332,83.322995
